127.0.0.1 - - [27/Jan/2023:13:47:24 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:25 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:30 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:35 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:40 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:45 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:50 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:47:55 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:00 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:05 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:10 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:15 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:20 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:25 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:30 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:31 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:33 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:33 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:34 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:34 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:35 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:35 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:35 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:40 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:46 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:51 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:48:56 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:01 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:06 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:11 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:16 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:21 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:26 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:31 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:36 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:38 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:40 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:41 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Jan/2023:13:49:46 +0900] "GET /JSPBookExcercise/ch05/response.jsp HTTP/1.1" 200 250
