127.0.0.1 - - [20/Jan/2023:16:12:25 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:12:26 +0900] "GET /JSPBook/ch03/page_contentType01.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:15:50 +0900] "GET /JSPBook/ch03/page_contentType02.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:15:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:16:51 +0900] "GET /JSPBook/ch03/page_contentType02.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:19:17 +0900] "GET /JSPBook/ch03/page_import.jsp HTTP/1.1" 500 2572
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:25:11 +0900] "GET /JSPBook/ch03/page_errorPage.jsp HTTP/1.1" 500 2511
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:27:46 +0900] "GET /JSPBook/ch03/page_errorPage.jsp HTTP/1.1" 500 2511
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:27:48 +0900] "GET /JSPBook/ch03/page_errorPage.jsp HTTP/1.1" 500 2589
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:28:03 +0900] "GET /JSPBook/ch03/page_errorPage.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:32:36 +0900] "GET /JSPBook/ch03/page_isErrorPage_error.jsp HTTP/1.1" 500 2822
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:32:40 +0900] "GET /JSPBook/ch03/page_isErrorPage_error.jsp HTTP/1.1" 500 2822
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:33:09 +0900] "GET /JSPBook/ch03/page_isErrorPage.jsp HTTP/1.1" 500 2684
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:35:29 +0900] "GET /JSPBook/ch03/page_isELignored.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:36:05 +0900] "GET /JSPBook/ch03/page_isELignored.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:38:44 +0900] "GET /JSPBook/ch03/include01.jsp HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:57:41 +0900] "GET /JSPBook/ch03/include02.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:57:47 +0900] "GET /JSPBook/ch03/include02.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:59:19 +0900] "GET /JSPBook/ch03/include02.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:59:24 +0900] "GET /JSPBook/ch03/include02.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:59:27 +0900] "GET /JSPBook/ch03/include02.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [20/Jan/2023:16:59:29 +0900] "GET /JSPBook/ch03/include02.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:09:19 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:09:49 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:10:10 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:17:39 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:22:32 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:25:55 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:26:39 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:37:15 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:37:15 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [20/Jan/2023:17:37:16 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 1808
